,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
1009,28841741,2022-11-17 14:28:59.843347+00:00,,t,65,73820112184441858,648518346495874250,73820112184533725,648518346481055200,[ 51999 100233   2055],[ 51983 100205   2054]
1010,28841788,2022-11-17 14:28:59.843347+00:00,,t,25,73820112184455958,648518346492430265,73820112184572162,648518346481055200,[ 52043 100139   2053],[ 52063 100161   2053]
1011,28841811,2022-11-17 14:28:59.843347+00:00,,t,25,73820112184145369,648518346474363330,73820112184139904,648518346481055200,[52147 99841  1941],[52137 99879  1942]
1012,28841834,2022-11-17 14:28:59.843347+00:00,,t,50,73820112184571324,648518346492430265,73820112184572162,648518346481055200,[ 52189 100107   2051],[ 52169 100131   2053]
1013,28841854,2022-11-17 14:28:59.843347+00:00,,t,36,73820112184096851,648518346493820558,73820112183999696,648518346481055200,[ 52195 100337   1941],[ 52193 100313   1940]
1014,28841866,2022-11-17 14:28:59.843347+00:00,,t,33,73820112184137824,648518346493820558,73820112184173068,648518346481055200,[ 52215 100337   1948],[ 52209 100311   1948]
1015,32889579,2022-11-17 14:28:59.843347+00:00,,t,38,73890618904394577,648518346531155994,73890618904432800,648518346481055200,[ 53919 103861   3067],[ 53929 103879   3069]
1016,32889709,2022-11-17 14:28:59.843347+00:00,,t,25,73890618904479529,648518346465917744,73890618904413185,648518346481055200,[ 54033 104077   3062],[ 54067 104067   3062]
1017,32889738,2022-11-17 14:28:59.843347+00:00,,t,21,73890618904557801,648518346465917744,73890618904438423,648518346481055200,[ 54093 104155   3071],[ 54107 104131   3072]
1018,32889745,2022-11-17 14:28:59.843347+00:00,,t,26,73890618904438294,648518346465917744,73890618904438423,648518346481055200,[ 54085 104007   3073],[ 54119 104013   3073]
1019,28936758,2022-11-17 14:28:59.843347+00:00,,t,25,73961262861752429,648518346514599623,73890894117455282,648518346481055200,[ 55331 112133   3604],[ 55295 112143   3604]
1020,22540611,2022-11-17 14:28:59.843347+00:00,,t,34,74101931161131802,648518346494080626,74101931161093410,648518346481055200,[ 60557 110147   2804],[ 60577 110123   2804]
1021,25222078,2022-11-17 14:28:59.843347+00:00,,t,16,74171818600388887,648518346487869652,74171818600398744,648518346481055200,[62981 95837  2258],[62957 95815  2260]
1022,25221925,2022-11-17 14:28:59.843347+00:00,,t,18,74171818600459490,648518346497667574,74171818600445573,648518346481055200,[62693 95787  2284],[62703 95797  2281]
1023,25284338,2022-11-17 14:28:59.843347+00:00,,t,15,73890962367465602,648518346489573135,73890962367468156,648518346481055200,[ 54143 114489   2778],[ 54181 114497   2778]
1024,25284351,2022-11-17 14:28:59.843347+00:00,,t,42,73890962367434309,648518346489573135,73890962367431645,648518346481055200,[ 54207 114625   2764],[ 54203 114599   2764]
1029,29134920,2022-11-17 14:28:59.843347+00:00,,t,23,74242256198398234,648518346486128297,74242256198377419,648518346481055200,[65245 97783  2547],[65253 97759  2547]
1030,29134956,2022-11-17 14:28:59.843347+00:00,,t,33,74242256198350428,648518346465918000,74242256198365047,648518346481055200,[65325 97799  2544],[65339 97801  2546]
1031,29153286,2022-11-17 14:28:59.843347+00:00,,t,30,73820180769644534,648518346494686197,73890549513850873,648518346481055200,[ 53239 100673   1790],[ 53259 100645   1791]
1032,29153366,2022-11-17 14:28:59.843347+00:00,,t,31,73890549513851272,648518346507309433,73890549514025107,648518346481055200,[ 53327 100749   1796],[ 53323 100715   1797]
1033,29153463,2022-11-17 14:28:59.843347+00:00,,t,25,73890549513851272,648518346507309433,73890549513946319,648518346481055200,[ 53439 100773   1796],[ 53445 100747   1797]
1034,29154065,2022-11-17 14:28:59.843347+00:00,,t,15,73890549513737422,648518346501642569,73890549513721537,648518346481055200,[ 54251 100857   1746],[ 54247 100829   1746]
1035,25652524,2022-11-17 14:28:59.843347+00:00,,t,16,74031218416717140,648518346479401152,74031218416757115,648518346481055200,[ 57573 100193   1975],[ 57583 100199   1978]
1036,25652590,2022-11-17 14:28:59.843347+00:00,,t,18,74031218416776846,648518346500268604,74031218416774615,648518346481055200,[ 57671 100193   1994],[ 57639 100185   1994]
1037,25652657,2022-11-17 14:28:59.843347+00:00,,t,28,74031218416776711,648518346497667574,74031218416772085,648518346481055200,[57697 99883  1989],[57701 99921  1989]
1038,25652678,2022-11-17 14:28:59.843347+00:00,,t,17,74031218416774388,648518346497667574,74031218416772085,648518346481055200,[57737 99857  1985],[57735 99897  1986]
