,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
92,1019988,2022-11-17 14:28:59.843347+00:00,,t,29,73960850142279794,648518346385791605,73960850142284725,648518346478173909,[56737 99637  2862],[56757 99661  2862]
93,1064620,2022-11-17 14:28:59.843347+00:00,,t,13,74172368557616793,648518346492932016,74172368557651417,648518346478173909,[ 63141 110805   2681],[ 63137 110827   2680]
94,1064337,2022-11-17 14:28:59.843347+00:00,,t,33,74172368557433687,648518346489559639,74172368557463250,648518346478173909,[ 62703 110903   2603],[ 62711 110929   2604]
95,4513729,2022-11-17 14:28:59.843347+00:00,,t,12,74172094015128174,648518346499610181,74172094015122950,648518346478173909,[ 62867 104009   3263],[ 62835 104011   3263]
96,4513733,2022-11-17 14:28:59.843347+00:00,,t,17,74172094015070115,648518346491556776,74172094015067592,648518346478173909,[ 62859 104189   3239],[ 62861 104221   3239]
97,1464958,2022-11-17 14:28:59.843347+00:00,,t,21,73749605867139330,648518346484059175,73749605867100422,648518346478173909,[50745 94955  1797],[50753 94925  1797]
98,1465027,2022-11-17 14:28:59.843347+00:00,,t,12,73749605867167812,648518346484059175,73749605867167245,648518346478173909,[50803 94991  1799],[50827 94973  1799]
99,13044198,2022-11-17 14:28:59.843347+00:00,,t,16,73819975282156729,648518346499321668,73819975282139919,648518346478173909,[52149 95777  2999],[52141 95745  2999]
100,13044210,2022-11-17 14:28:59.843347+00:00,,t,31,73819975282152082,648518346476789264,73819975282134943,648518346478173909,[52153 95955  2992],[52155 95929  2993]
101,13044213,2022-11-17 14:28:59.843347+00:00,,t,36,73819975282127447,648518346498417201,73819975282134943,648518346478173909,[52163 95949  2986],[52161 95923  2987]
102,13044216,2022-11-17 14:28:59.843347+00:00,,t,13,73819975282122580,648518346511876543,73819975282101266,648518346478173909,[52157 95861  2980],[52161 95847  2981]
103,13044220,2022-11-17 14:28:59.843347+00:00,,t,25,73819975282098595,648518346511876543,73819975282101266,648518346478173909,[52143 95887  2976],[52167 95859  2978]
104,1635498,2022-11-17 14:28:59.843347+00:00,,t,14,74172025295728990,648518346490344078,74172025295734172,648518346478173909,[ 62445 101605   3277],[ 62429 101615   3278]
105,1641363,2022-11-17 14:28:59.843347+00:00,,t,17,73819975215009216,648518346497577462,73819975214985001,648518346478173909,[51231 94317  2862],[51267 94299  2862]
106,8519190,2022-11-17 14:28:59.843347+00:00,,t,25,73960643849661152,648518346476862992,73960643849636702,648518346478173909,[56057 93943  2606],[56055 93905  2606]
107,8519252,2022-11-17 14:28:59.843347+00:00,,t,16,73960643849683369,648518346466654318,73960643849698854,648518346478173909,[56077 93461  2623],[56101 93451  2622]
108,8518910,2022-11-17 14:28:59.843347+00:00,,t,15,73960643849508852,648518346478528340,73960643849411990,648518346478173909,[55575 93401  2570],[55583 93427  2570]
109,8518934,2022-11-17 14:28:59.843347+00:00,,t,20,73960643849508852,648518346478528340,73960643849408680,648518346478173909,[55601 93393  2573],[55637 93395  2574]
110,8519295,2022-11-17 14:28:59.843347+00:00,,t,13,73960643849691183,648518346466654318,73960643849698854,648518346478173909,[56109 93485  2624],[56143 93487  2624]
111,4807944,2022-11-17 14:28:59.843347+00:00,,t,17,73960850075343451,648518346466684782,73960850075350508,648518346478173909,[55605 99951  2784],[55585 99975  2786]
112,4807963,2022-11-17 14:28:59.843347+00:00,,t,14,73960850075348413,648518346487430058,73960850075378686,648518346478173909,[ 55597 100123   2789],[ 55601 100091   2790]
113,1915038,2022-11-17 14:28:59.843347+00:00,,t,24,74172231387248461,648518346478528340,74172231387152750,648518346478173909,[ 62021 107551   3200],[ 62019 107529   3201]
114,1914979,2022-11-17 14:28:59.843347+00:00,,t,21,74172231387106998,648518346499420391,74172231387114423,648518346478173909,[ 61817 107641   3190],[ 61839 107641   3191]
115,1914988,2022-11-17 14:28:59.843347+00:00,,t,13,74172231387109354,648518346499611973,74172231387107021,648518346478173909,[ 61821 107745   3190],[ 61863 107741   3191]
116,8612496,2022-11-17 14:28:59.843347+00:00,,t,43,73820043733301455,648518346488678897,73820043733318719,648518346478173909,[51367 96803  2539],[51351 96831  2540]
117,2138730,2022-11-17 14:28:59.843347+00:00,,t,17,73819975080659091,648518346514074334,73819975080685829,648518346478173909,[52275 95963  2577],[52279 95997  2576]
118,8630524,2022-11-17 14:28:59.843347+00:00,,t,30,73820043800328395,648518346496230519,73820043800317746,648518346478173909,[51783 96873  2628],[51797 96891  2627]
119,8630556,2022-11-17 14:28:59.843347+00:00,,t,38,73820043800385283,648518346496230519,73820043800392198,648518346478173909,[51879 96885  2658],[51893 96919  2659]
120,8630712,2022-11-17 14:28:59.843347+00:00,,t,22,73820043800294299,648518346496230519,73820043800296768,648518346478173909,[52071 96709  2624],[52115 96709  2625]
121,8630330,2022-11-17 14:28:59.843347+00:00,,t,24,73820043800450298,648518346497328001,73820043800444371,648518346478173909,[51539 96583  2679],[51531 96619  2680]
122,5035547,2022-11-17 14:28:59.843347+00:00,,t,32,73819906495519374,648518346485841860,73819906495519369,648518346478173909,[51795 93217  2854],[51771 93223  2856]
123,5035438,2022-11-17 14:28:59.843347+00:00,,t,17,73819906495584929,648518346504748934,73819906495573039,648518346478173909,[51675 93819  2879],[51665 93793  2879]
124,5035205,2022-11-17 14:28:59.843347+00:00,,t,14,73819906495480636,648518346486764003,73819906495499059,648518346478173909,[51431 93703  2846],[51443 93677  2848]
125,13124922,2022-11-17 14:28:59.843347+00:00,,t,24,73890343825143006,648518346490434652,73890343825135814,648518346478173909,[54151 94779  2671],[54123 94805  2671]
