,pre_skid,post_skid,pre_node,post_node,pre_pt_position_v3,post_pt_position_v3,pre_pt_position_v4,post_pt_position_v4,pre_pt_supervoxel_id,post_pt_supervoxel_id,pre_pt_root_id,post_pt_root_id
339,1119308,710143,16694681,16694680,[ 50189.10232558 103057.35348837   2237.        ],[ 50277.18604651 103142.44186047   2237.        ],"[50218.0569767442, 103079.5604651163, 2237.0]","[50306.62209302325, 103165.38372093023, 2237.0]",73749881013198730,73749881013206494,648518346465917744,648518346481055200
340,1119339,710143,16694693,16694692,[ 50543.08837209 103497.93488372   2202.        ],[ 50558.89534884 103192.97209302   2202.        ],"[50585.42674418604, 103529.86976744188, 2202.0]","[50603.04069767443, 103226.19418604654, 2202.0]",73749881013120650,73749881013135896,648518346495874250,648518346481055200
341,1119355,710143,16694699,16694698,[ 50398.04186047 103262.62790698   2194.        ],[ 50618.         103265.34883721   2193.        ],"[50434.87558139534, 103283.63372093024, 2194.0]","[50651.0, 103289.94767441862, 2193.0]",73749881013135962,73749881013120474,648518346495874250,648518346481055200
342,1119377,710143,16694705,16694704,[ 50484.94186047 103288.48139535   2183.        ],[ 50706.96976744 103257.65116279   2183.        ],"[50514.383720930244, 103304.71279069767, 2183.0]","[50744.15930232559, 103275.4534883721, 2183.0]",73749880946472099,73749880946332056,648518346500400196,648518346481055200
343,1119432,710143,16694722,16694721,[ 50868.3        103168.24186047   2128.        ],[ 50904.08372093 103291.04651163   2128.        ],"[50908.40000000001, 103180.72558139535, 2128.0]","[50945.2511627907, 103307.88953488372, 2128.0]",73749880946181552,73749880946184155,648518346507309433,648518346481055200
344,1119474,710143,16694737,16694736,[ 50813.61162791 102898.77906977   2095.        ],[ 50985.50232558 102940.37674419   2094.        ],"[50854.22325581395, 102924.3081395349, 2095.0]","[51028.2546511628, 102967.00348837211, 2094.0]",73749880946082655,73749880946079894,648518346513923353,648518346481055200
345,1119509,710143,16694746,16694745,[ 51093.1        102977.15813953   2092.        ],[ 50986.5       102898.1255814   2092.       ],"[51138.299999999996, 103006.97441860467, 2092.0]","[51029.50000000002, 102926.37674418604, 2092.0]",73749880946082622,73749880946077290,648518346507309433,648518346481055200
346,1119541,710143,16694759,16694757,[ 50831.55581395 102924.0627907    2091.        ],[ 50926.55581395 102779.0627907    2091.        ],"[50870.86162790698, 102948.12558139535, 2091.0]","[50966.167441860474, 102804.68837209302, 2091.0]",73749880946074797,73749880946052298,648518346513923353,648518346481055200
347,1119582,710143,16694768,16098107,[ 54902.48837209 101688.00930233   2022.        ],[ 54965.48837209 101672.51162791   2022.        ],"[54934.21511627909, 101682.02790697677, 2022.0]","[54998.47674418606, 101667.27325581395, 2022.0]",73890549647962670,73890549647979197,648518346482131092,648518346470667126
348,1119614,710143,16694776,16098104,[ 55204.48837209 101812.01395349   2019.        ],[ 55074.48837209 101635.51162791   2019.        ],"[55239.21511627907, 101816.54186046509, 2019.0]","[55106.71511627907, 101630.53488372093, 2019.0]",73890549647952374,73890549647969655,648518346497667574,648518346470667126
349,1119641,710143,16694783,16098099,[ 55185.48837209 101405.01395349   2018.        ],[ 55178.48837209 101583.51162791   2018.        ],"[55215.97674418606, 101398.52790697676, 2018.0]","[55209.226744186046, 101580.77325581395, 2018.0]",73890549647957217,73890549647967580,648518346465918000,648518346470667126
350,1119641,710143,16694783,16098090,[ 55185.48837209 101405.01395349   2018.        ],[ 55323.49302326 101680.51162791   2018.        ],"[55215.97674418606, 101398.52790697676, 2018.0]","[55356.97906976743, 101685.53488372093, 2018.0]",73890549647957217,73960918392157065,648518346465918000,648518346470667126
351,1119671,710143,16694790,16098081,[ 55407.49534884 101880.           2011.        ],[ 55289.49767442 101758.50232558   2011.        ],"[55444.736046511636, 101880.75, 2011.0]","[55323.24302325582, 101755.5069767442, 2011.0]",73960918392122665,73960918392124881,648518346497667574,648518346470667126
352,1119702,710143,16694800,16694798,[ 54991.25581395 101762.75348837   2008.        ],[ 55170.25581395 101941.75813953   2008.        ],"[55027.26162790698, 101754.00697674422, 2008.0]","[55209.51162790698, 101937.76627906977, 2008.0]",73890549647952325,73890549647947857,648518346482131092,648518346481055200
353,1119724,710143,16694807,15574398,[ 55470.87674419 102049.33953488   2004.        ],[ 55183.24883721 102073.25581395   2004.        ],"[55518.38023255814, 102054.01860465117, 2004.0]","[55224.24651162792, 102072.51744186049, 2004.0]",73960918392120534,73890549647924179,648518346479401152,648518346481055200
354,1119735,710143,16694810,16694804,[ 54935.87674419 102157.33255814   2006.        ],[ 55154.25581395 102137.00465116   2004.        ],"[54976.88023255814, 102152.99767441864, 2006.0]","[55194.517441860466, 102135.51395348836, 2004.0]",73890549647945663,73890549647924179,648518346486128297,648518346481055200
355,1119735,710143,16694810,16694813,[ 54935.87674419 102157.33255814   2006.        ],[ 55146.8744186  102185.33488372   2006.        ],"[54976.88023255814, 102152.99767441864, 2006.0]","[55191.12325581396, 102183.7546511628, 2006.0]",73890549647945663,73890549647924220,648518346486128297,648518346481055200
356,1119757,710143,16694818,16694815,[ 54824.97674419 102170.74883721   1984.        ],[ 54933.81395349 102196.3255814    1984.        ],"[54873.43023255814, 102159.49651162792, 1984.0]","[54981.37790697675, 102186.65116279072, 1984.0]",73890549647887218,73890549647900779,648518346492430265,648518346481055200
357,1119772,710143,16694825,16694824,[ 54811.12325581 102431.59069767   1966.        ],[ 54712.21627907 102309.43255814   1966.        ],"[54833.746511627905, 102424.93139534886, 1966.0]","[54738.93255813954, 102300.61511627908, 1966.0]",73890618367390374,73890549647850850,648518346485825406,648518346481055200
358,1119788,710143,16694830,16694829,[ 54517.11627907 102212.15116279   1961.        ],[ 54660.50232558 102356.62790698   1961.        ],"[54558.98255813954, 102192.3023255814, 1961.0]","[54694.006976744204, 102340.13372093024, 1961.0]",73890549647816035,73890549647821286,648518346489687091,648518346481055200
359,1119820,710143,16694843,16694841,[ 54615.6255814  102430.49302326   1953.        ],[ 54497.62325581 102488.49534884   1953.        ],"[54647.62674418606, 102426.47906976743, 1953.0]","[54534.61976744186, 102484.48604651168, 1953.0]",73890618367342518,73890618367345688,648518346485825406,648518346481055200
360,1119841,710143,16694850,16694849,[ 54676.78837209 102538.65116279   1951.        ],[ 54593.28837209 102509.65116279   1951.        ],"[54705.36511627908, 102530.7034883721, 1951.0]","[54624.9034883721, 102500.60465116281, 1951.0]",73890618367290778,73890618367338290,648518346501142157,648518346481055200
361,1119914,710143,16694867,15573491,[ 51284.65813953 102211.85348837   1892.        ],[ 51472.75348837 102193.51162791   1892.        ],"[51334.22441860465, 102205.31046511626, 1892.0]","[51520.010465116284, 102184.28488372093, 1892.0]",73820180836675519,73820180836699160,648518346507242105,648518346481055200
362,1119940,710143,16694878,16694874,[ 51494.35348837 102444.2          1909.        ],[ 51463.87674419 102201.1255814    1909.        ],"[51557.56046511628, 102440.84999999999, 1909.0]","[51526.380232558164, 102204.87674418608, 1909.0]",73820249556263036,73820180836699160,648518346498567664,648518346481055200
363,1119956,710143,16694884,16694883,[ 51158.26976744 102297.7255814    1941.        ],[ 51238.86046512 102313.20930233   1941.        ],"[51216.28953488372, 102303.4511627907, 1941.0]","[51298.220930232565, 102317.66860465117, 1941.0]",73820180903603189,73820180903606308,648518346498567664,648518346481055200
364,1119982,710143,16694894,15573479,[ 51472.93953488 102591.51860465   1961.        ],[ 51324. 102547.   1961.],"[51558.629069767456, 102580.78720930236, 1961.0]","[51408.50000000002, 102536.25, 1961.0]",73820249623133702,73820249623107200,648518346500277308,648518346481055200
365,1119993,710143,16694899,15573470,[ 51717.15581395 102653.14651163   1983.        ],[ 51829.74883721 102515.51162791   1983.        ],"[51792.56162790698, 102638.29302325583, 1983.0]","[51904.24767441861, 102504.02325581395, 1983.0]",73820249623195113,73820249623182072,648518346487643860,648518346481055200
366,1120024,710143,16694910,16694909,[ 52287.5255814  102615.29069767   2008.        ],[ 52016.83488372 102544.8372093    2008.        ],"[52340.576744186044, 102590.87209302328, 2008.0]","[52064.0046511628, 102522.26162790696, 2008.0]",73820249623233628,73820249623270696,648518346484040743,648518346481055200
367,1120054,710143,16694918,16694917,[ 51927.99767442 102473.95348837   2014.        ],[ 52077.99767442 102583.45116279   2014.        ],"[51989.49302325584, 102451.86046511628, 2014.0]","[52135.74534883723, 102559.15232558141, 2014.0]",73820249623252049,73820249623278976,648518346495874250,648518346481055200
368,1120076,710143,16694924,15575086,[ 54237.38372093 104460.95348837   1883.        ],[ 54480.00465116 104527.00465116   1883.        ],"[54245.40116279071, 104439.11046511628, 1883.0]","[54480.009302325576, 104504.00930232558, 1883.0]",73890618300328516,73890687019816256,648518346494653091,648518346481055200
369,1120133,710143,16694951,16683990,[ 54313.60465116 104496.09767442   1918.        ],[ 54429.91162791 104439.65116279   1918.        ],"[54339.31395348838, 104492.79302325581, 1918.0]","[54454.734883720936, 104440.7034883721, 1918.0]",73890687019885470,73890618300432667,648518346482131092,648518346481055200
370,1120144,710143,16694955,16694953,[ 54288.29302326 104497.53488372   1935.        ],[ 54310.29069767 104340.53488372   1935.        ],"[54331.62906976744, 104490.60465116284, 1935.0]","[54355.37209302326, 104338.6046511628, 1935.0]",73890687086498585,73890618367273706,648518346482131092,648518346481055200
371,1120175,710143,16694962,15570824,[ 54082.49534884 103645.00697674   1958.        ],[ 54303.24883721 103386.           1958.        ],"[54157.736046511636, 103630.02093023261, 1958.0]","[54368.24651162792, 103376.0, 1958.0]",73890618367359607,73890618367356616,648518346528819482,648518346481055200
372,1120185,710143,16694967,16694965,[ 60091.04651163 110848.8          2617.        ],[ 60175.04651163 110641.79534884   2617.        ],"[60099.09302325582, 110881.85000000003, 2617.0]","[60182.09302325583, 110671.3406976744, 2617.0]",74101999813323278,74101999813313326,648518346507309433,648518346481055200
373,1120217,710143,16694977,15574701,[ 60175.75116279 110461.00930233   2610.        ],[ 60068.25116279 110555.00697674   2609.        ],"[60184.7534883721, 110485.02790697677, 2610.0]","[60072.2534883721, 110584.52093023261, 2609.0]",74101931093833815,74101931093819872,648518346495874250,648518346481055200
374,1120243,710143,16694985,16694984,[ 59710.72093023 110428.53953488   2603.        ],[ 59899.44186047 110520.87906977   2602.        ],"[59704.912790697694, 110469.11860465116, 2603.0]","[59888.575581395366, 110557.38720930237, 2602.0]",74101931093812232,74101931093804707,648518346485825406,648518346481055200
375,1120260,710143,16694991,16694990,[66151.88372093 99147.68837209  2782.        ],[65990.         98937.33255814  2782.        ],"[66187.65116279069, 99209.31511627906, 2782.0]","[66036.5, 98995.49767441864, 2782.0]",74312693796219215,74312693796219071,648518346486128297,648518346481055200
376,1120270,710143,16694999,16694998,[66258.66976744 98932.70232558  2756.        ],[66393.16744186 99146.70697674  2756.        ],"[66255.5093023256, 98995.6069767442, 2756.0]","[66382.2523255814, 99208.6209302326, 2756.0]",74312693796180002,74312693796147602,648518346514599623,648518346481055200
377,1120281,710143,16695003,16695002,[66472.66744186 99322.76744186  2754.        ],[66410.14418605 99162.71162791  2754.        ],"[66456.2523255814, 99380.30232558142, 2754.0]","[66396.43255813954, 99222.13488372092, 2754.0]",74312693796150278,74312693796147602,648518346477591205,648518346481055200
378,1120292,710143,16695010,16695009,[66402.73255814 99420.88372093  2690.        ],[66501.68604651 99459.76046512  2690.        ],"[66403.19767441862, 99477.90116279069, 2690.0]","[66500.5581395349, 99516.28139534885, 2690.0]",74312693729178958,74312693729179099,648518346494701483,648518346481055200
379,1120303,710143,16695014,16695013,[66445.13023256 99844.08372093  2610.        ],[66416.68604651 99990.86511628  2610.        ],"[66455.6406976744, 99876.25116279072, 2610.0]","[66428.37209302327, 100026.73023255813, 2610.0]",74312693728993265,74312693728983050,648518346479878550,648518346481055200
380,1120315,710143,16695018,16695017,[ 66439.2        100189.48837209   2607.        ],[ 66416.53953488 100018.86046512   2607.        ],"[66451.15, 100217.47674418605, 2607.0]","[66426.82906976744, 100044.72093023255, 2607.0]",74312693728985416,74312693729008643,648518346465918000,648518346481055200
