,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
836,16075348,2022-11-17 14:28:59.843347+00:00,,t,41,74101793319297164,648518346484096807,74101793319316917,648518346494774179,[ 59849 106189   1959],[ 59829 106223   1960]
837,16075395,2022-11-17 14:28:59.843347+00:00,,t,49,74101793319371458,648518346485512829,74101793319353216,648518346494774179,[ 59885 106465   1984],[ 59909 106439   1984]
838,28072897,2022-11-17 14:28:59.843347+00:00,,t,21,74171887722492943,648518346495690128,74171887722516416,648518346494774179,[61633 98251  3015],[61629 98231  3018]
839,28072919,2022-11-17 14:28:59.843347+00:00,,t,12,74171887722498664,648518346491556776,74171887722516416,648518346494774179,[61717 98299  3027],[61711 98265  3027]
840,28072922,2022-11-17 14:28:59.843347+00:00,,t,13,74171887722456317,648518346491556776,74171887722451148,648518346494774179,[61757 98143  2996],[61725 98143  2996]
841,28074350,2022-11-17 14:28:59.843347+00:00,,t,29,74101587362417745,648518346518306134,74101587362414706,648518346494774179,[61061 99471  2415],[61089 99463  2416]
842,28074362,2022-11-17 14:28:59.843347+00:00,,t,39,74101587362411763,648518346518306134,74101587362408779,648518346494774179,[61081 99459  2412],[61115 99461  2413]
843,16181733,2022-11-17 14:28:59.843347+00:00,,t,47,73679581190011813,648518346491632145,73679581189986758,648518346494774179,[ 47367 104929   2678],[ 47397 104925   2678]
844,23611498,2022-11-17 14:28:59.843347+00:00,,t,30,73890343690883248,648518346489688883,73890343690888095,648518346494774179,[54361 96193  2396],[54397 96195  2396]
845,28090502,2022-11-17 14:28:59.843347+00:00,,t,25,73749743775554181,648518346511876543,73749743775545000,648518346494774179,[ 49715 100161   2597],[ 49699 100121   2598]
846,28090638,2022-11-17 14:28:59.843347+00:00,,t,40,73749743775569879,648518346482609961,73749743775563125,648518346494774179,[49957 99829  2598],[49989 99819  2598]
847,28090639,2022-11-17 14:28:59.843347+00:00,,t,48,73749743775611106,648518346476789264,73749743775616187,648518346494774179,[49983 99883  2623],[49997 99853  2624]
848,28090647,2022-11-17 14:28:59.843347+00:00,,t,58,73749743775569879,648518346482609961,73749743775569934,648518346494774179,[49977 99825  2604],[50011 99811  2605]
849,28090651,2022-11-17 14:28:59.843347+00:00,,t,53,73749743775504599,648518346518306134,73749743775480580,648518346494774179,[ 50039 100271   2578],[ 50009 100263   2579]
850,28090654,2022-11-17 14:28:59.843347+00:00,,t,27,73749743775528409,648518346476789264,73749743775558376,648518346494774179,[49989 99859  2593],[50013 99861  2594]
851,28090656,2022-11-17 14:28:59.843347+00:00,,t,14,73749743775563132,648518346518306134,73749743775576888,648518346494774179,[50059 99795  2599],[50023 99793  2600]
852,28090662,2022-11-17 14:28:59.843347+00:00,,t,20,73749743775611014,648518346511876543,73749743775592621,648518346494774179,[50053 99805  2616],[50033 99835  2616]
853,28090663,2022-11-17 14:28:59.843347+00:00,,t,25,73749743775563132,648518346518306134,73749743775542601,648518346494774179,[50069 99833  2596],[50035 99841  2596]
854,28090682,2022-11-17 14:28:59.843347+00:00,,t,18,73749743775611014,648518346511876543,73749743775576888,648518346494774179,[50069 99763  2616],[50071 99743  2614]
855,28090494,2022-11-17 14:28:59.843347+00:00,,t,42,73749743775560732,648518346482609961,73749743775545000,648518346494774179,[ 49691 100039   2593],[ 49675 100075   2594]
856,23645630,2022-11-17 14:28:59.843347+00:00,,t,18,74031218886692206,648518346496814241,74031218886675932,648518346494774179,[ 59271 100097   2936],[ 59241 100091   2935]
857,16381600,2022-11-17 14:28:59.843347+00:00,,t,33,74031356057059300,648518346511876543,74031356057051844,648518346494774179,[ 57759 103119   2372],[ 57785 103101   2373]
858,16381608,2022-11-17 14:28:59.843347+00:00,,t,51,74031356057041914,648518346489688883,74031356057044514,648518346494774179,[ 57807 103219   2365],[ 57801 103255   2366]
859,16381629,2022-11-17 14:28:59.843347+00:00,,t,45,74031356056997191,648518346489293509,74031356056999695,648518346494774179,[ 57805 102581   2352],[ 57829 102551   2353]
