,pre_skid,post_skid,pre_node,post_node,pre_pt_position_v3,post_pt_position_v3,pre_pt_position_v4,post_pt_position_v4,pre_pt_supervoxel_id,post_pt_supervoxel_id,pre_pt_root_id,post_pt_root_id
5422,1387034,735491,18185100,18141122,[57191.10465116 92960.95348837  2704.        ],[57191.10465116 93092.95813953  2703.        ],"[57227.81395348838, 92964.36046511628, 2704.0]","[57233.31395348838, 93095.37441860464, 2703.0]",73960643916504088,73960643916508887,648518346486648217,648518346494774179
5423,1387050,735491,18185105,17915558,[61066.50465116 99771.76744186  2435.        ],[60939.50232558 99808.2627907   2435.        ],"[61056.259302325576, 99751.28488372092, 2435.0]","[60925.25465116279, 99784.52558139537, 2435.0]",74101587362445768,74101587362471163,648518346511876543,648518346494774179
5424,1387071,735491,18185110,18090054,[55916.24651163 96415.62790698  2398.        ],[55659.49767442 96467.62325581  2398.        ],"[55855.739534883716, 96340.88372093024, 2398.0]","[55594.490697674424, 96387.24302325584, 2398.0]",73960781154542567,73960781154534790,648518346485981026,648518346494774179
5425,1387083,735491,18185115,18185114,[ 63267.61627907 100541.88837209   2743.        ],[ 63408.61860465 100503.39534884   2743.        ],"[63236.34883720931, 100591.6651162791, 2743.0]","[63383.355813953494, 100558.18604651162, 2743.0]",74172025027248292,74172025027237700,648518346489559639,648518346410015289
5426,1387109,735491,18185121,18094076,[ 58243.29534884 102100.56744186   2338.        ],[ 58310.29534884 102194.06976744   2338.        ],"[58222.09069767443, 102094.13488372095, 2338.0]","[58289.840697674415, 102188.63953488372, 2338.0]",74031287337492973,74031287337505639,648518346511876543,648518346494774179
5427,1387135,735491,18185131,18153295,[ 60498.71627907 105581.04651163   1995.        ],[ 60584.21395349 105456.04651163   1995.        ],"[60462.64883720931, 105567.38953488372, 1995.0]","[60546.141860465126, 105443.63953488372, 1995.0]",74101793319379862,74101793319389230,648518346486584452,648518346494774179
5428,1387176,735491,18185140,17768552,[ 56794.75581395 101839.75348837   2506.        ],[ 56714.75581395 101762.74418605   2506.        ],"[56773.76744186049, 101834.01046511628, 2506.0]","[56693.26162790699, 101756.23837209304, 2506.0]",73960918660484957,73960918660487088,648518346488924662,648518346494774179
5429,1387202,735491,18185146,18134527,[61658.90697674 98595.66046512  2791.        ],[61542.90697674 98519.66511628  2791.        ],"[61689.81395348837, 98640.32093023258, 2791.0]","[61570.56395348838, 98563.33023255816, 2791.0]",74171956307862051,74171956307849945,648518346481678013,648518346487272968
5430,1387208,735491,18185148,17768725,[ 58077.74651163 102543.51627907   2467.        ],[ 57978.5       102490.7627907   2468.       ],"[58089.74302325581, 102548.53255813953, 2467.0]","[57987.0, 102491.52558139537, 2468.0]",74031356124108676,74031356124106227,648518346489559639,648518346494774179
5431,1387237,735491,18185160,18185159,[52642.50465116 98308.75813953  2594.        ],[52807.25348837 98289.50697674  2595.        ],"[52623.013953488364, 98295.02441860465, 2594.0]","[52788.25697674419, 98274.26395348838, 2595.0]",73820043800216683,73820043800229308,648518346492679342,648518346494774179
5432,1387260,735491,18185165,18134584,[60962.57209302 98214.25116279  2816.        ],[60996.57674419 98303.74883721  2816.        ],"[60975.89418604651, 98238.25232558142, 2816.0]","[61010.73023255818, 98331.49651162792, 2816.0]",74101518844250032,74101587563744881,648518346499756499,648518346512407144
